pds3_path,pds4_path,pds3_product_id,pds4_product_id
cl_3009/bi35_00s/bi03s231.img,/data/basemap/03s/200/,bi03s231,basemap_03s_231e
cl_3009/bi35_00s/bi03s237.img,/data/basemap/03s/200/,bi03s237,basemap_03s_237e
cl_3010/bi35_00s/bi03s243.img,/data/basemap/03s/200/,bi03s243,basemap_03s_243e
cl_3010/bi35_00s/bi03s249.img,/data/basemap/03s/200/,bi03s249,basemap_03s_249e
cl_3010/bi35_00s/bi03s255.img,/data/basemap/03s/200/,bi03s255,basemap_03s_255e
cl_3010/bi35_00s/bi03s261.img,/data/basemap/03s/200/,bi03s261,basemap_03s_261e
cl_3010/bi35_00s/bi03s267.img,/data/basemap/03s/200/,bi03s267,basemap_03s_267e
cl_3011/bi35_00s/bi03s273.img,/data/basemap/03s/200/,bi03s273,basemap_03s_273e
cl_3011/bi35_00s/bi03s279.img,/data/basemap/03s/200/,bi03s279,basemap_03s_279e
cl_3011/bi35_00s/bi03s285.img,/data/basemap/03s/200/,bi03s285,basemap_03s_285e
cl_3011/bi35_00s/bi03s291.img,/data/basemap/03s/200/,bi03s291,basemap_03s_291e
cl_3011/bi35_00s/bi03s297.img,/data/basemap/03s/200/,bi03s297,basemap_03s_297e
cl_3012/bi35_00s/bi03s303.img,/data/basemap/03s/300/,bi03s303,basemap_03s_303e
cl_3012/bi35_00s/bi03s309.img,/data/basemap/03s/300/,bi03s309,basemap_03s_309e
cl_3012/bi35_00s/bi03s315.img,/data/basemap/03s/300/,bi03s315,basemap_03s_315e
cl_3012/bi35_00s/bi03s321.img,/data/basemap/03s/300/,bi03s321,basemap_03s_321e
cl_3012/bi35_00s/bi03s327.img,/data/basemap/03s/300/,bi03s327,basemap_03s_327e
cl_3013/bi35_00s/bi03s333.img,/data/basemap/03s/300/,bi03s333,basemap_03s_333e
cl_3013/bi35_00s/bi03s339.img,/data/basemap/03s/300/,bi03s339,basemap_03s_339e
cl_3013/bi35_00s/bi03s345.img,/data/basemap/03s/300/,bi03s345,basemap_03s_345e
cl_3013/bi35_00s/bi03s351.img,/data/basemap/03s/300/,bi03s351,basemap_03s_351e
cl_3013/bi35_00s/bi03s357.img,/data/basemap/03s/300/,bi03s357,basemap_03s_357e
cl_3002/bi00_35n/bi10n003.img,/data/basemap/10n/000/,bi10n003,basemap_10n_003e
cl_3002/bi00_35n/bi10n009.img,/data/basemap/10n/000/,bi10n009,basemap_10n_009e
cl_3002/bi00_35n/bi10n015.img,/data/basemap/10n/000/,bi10n015,basemap_10n_015e
cl_3002/bi00_35n/bi10n021.img,/data/basemap/10n/000/,bi10n021,basemap_10n_021e
cl_3002/bi00_35n/bi10n027.img,/data/basemap/10n/000/,bi10n027,basemap_10n_027e
cl_3003/bi00_35n/bi10n033.img,/data/basemap/10n/000/,bi10n033,basemap_10n_033e
cl_3003/bi00_35n/bi10n039.img,/data/basemap/10n/000/,bi10n039,basemap_10n_039e
cl_3003/bi00_35n/bi10n045.img,/data/basemap/10n/000/,bi10n045,basemap_10n_045e
cl_3003/bi00_35n/bi10n051.img,/data/basemap/10n/000/,bi10n051,basemap_10n_051e
cl_3003/bi00_35n/bi10n057.img,/data/basemap/10n/000/,bi10n057,basemap_10n_057e
cl_3004/bi00_35n/bi10n063.img,/data/basemap/10n/000/,bi10n063,basemap_10n_063e
cl_3004/bi00_35n/bi10n069.img,/data/basemap/10n/000/,bi10n069,basemap_10n_069e
cl_3004/bi00_35n/bi10n075.img,/data/basemap/10n/000/,bi10n075,basemap_10n_075e
cl_3004/bi00_35n/bi10n081.img,/data/basemap/10n/000/,bi10n081,basemap_10n_081e
cl_3004/bi00_35n/bi10n087.img,/data/basemap/10n/000/,bi10n087,basemap_10n_087e
cl_3005/bi00_35n/bi10n093.img,/data/basemap/10n/000/,bi10n093,basemap_10n_093e
cl_3005/bi00_35n/bi10n099.img,/data/basemap/10n/000/,bi10n099,basemap_10n_099e
cl_3005/bi00_35n/bi10n105.img,/data/basemap/10n/100/,bi10n105,basemap_10n_105e
cl_3005/bi00_35n/bi10n111.img,/data/basemap/10n/100/,bi10n111,basemap_10n_111e
cl_3005/bi00_35n/bi10n117.img,/data/basemap/10n/100/,bi10n117,basemap_10n_117e
cl_3006/bi00_35n/bi10n123.img,/data/basemap/10n/100/,bi10n123,basemap_10n_123e
cl_3006/bi00_35n/bi10n129.img,/data/basemap/10n/100/,bi10n129,basemap_10n_129e
cl_3006/bi00_35n/bi10n135.img,/data/basemap/10n/100/,bi10n135,basemap_10n_135e
cl_3006/bi00_35n/bi10n141.img,/data/basemap/10n/100/,bi10n141,basemap_10n_141e
cl_3006/bi00_35n/bi10n147.img,/data/basemap/10n/100/,bi10n147,basemap_10n_147e
cl_3007/bi00_35n/bi10n153.img,/data/basemap/10n/100/,bi10n153,basemap_10n_153e
cl_3007/bi00_35n/bi10n159.img,/data/basemap/10n/100/,bi10n159,basemap_10n_159e
cl_3007/bi00_35n/bi10n165.img,/data/basemap/10n/100/,bi10n165,basemap_10n_165e
cl_3007/bi00_35n/bi10n171.img,/data/basemap/10n/100/,bi10n171,basemap_10n_171e
cl_3007/bi00_35n/bi10n177.img,/data/basemap/10n/100/,bi10n177,basemap_10n_177e
cl_3008/bi00_35n/bi10n183.img,/data/basemap/10n/100/,bi10n183,basemap_10n_183e
cl_3008/bi00_35n/bi10n189.img,/data/basemap/10n/100/,bi10n189,basemap_10n_189e
cl_3008/bi00_35n/bi10n195.img,/data/basemap/10n/100/,bi10n195,basemap_10n_195e
