dropped_product,retained_product
ahc0094a.020,ahc0093a.020
anb0096a.020,anb0095a.020
aud0098a.020,aud0097a.020
ahd0100a.020,ahd0099a.020
anf0102a.020,anf0101a.020
auc0104a.020,auc0103a.020
ana0106a.020,ana0105a.020
aub0107a.020,aub0108a.020
ala0109a.020,ala0110a.020
ane0112a.020,ane0111a.020
aua0113a.020,aua0114a.020
aaa0115a.020,aaa0116a.020
aha0118a.020,aha0117a.020
anc0120a.020,anc0119a.020
aba0121a.020,aba0122a.020
ahb0124a.020,ahb0123a.020
and0125a.020,and0126a.020
aue0128a.020,aue0127a.020
ahc0129a.020,ahc0130a.020
anb0132a.020,anb0131a.020
aud0133a.020,aud0134a.020
ahd0136a.020,ahd0135a.020
anf0138a.020,anf0137a.020
auc0140a.020,auc0139a.020
ana0142a.020,ana0141a.020
aub0144a.020,aub0143a.020
ala0145a.020,ala0146a.020
ane0148a.020,ane0147a.020
aua0150a.020,aua0149a.020
aaa0152a.020,aaa0151a.020
aha0154a.020,aha0153a.020
anc0156a.020,anc0155a.020
aba0157a.020,aba0158a.020
ahb0160a.020,ahb0159a.020
and0162a.020,and0161a.020
aue0164a.020,aue0163a.020
ahc0166a.020,ahc0165a.020
anb0168a.020,anb0167a.020
aud0170a.020,aud0169a.020
ahd0172a.020,ahd0171a.020
anf0173a.020,anf0174a.020
auc0175a.020,auc0176a.020
ana0178a.020,ana0177a.020
aub0179a.020,aub0180a.020
ala0182a.020,ala0181a.020
ane0184a.020,ane0183a.020
aua0185a.020,aua0186a.020
aaa0188a.020,aaa0187a.020
aha0189a.020,aha0190a.020
anc0191a.020,anc0192a.020
aba0194a.020,aba0193a.020
ahb0196a.020,ahb0195a.020
and0198a.020,and0197a.020
aue0200a.020,aue0199a.020
ahc0202a.020,ahc0201a.020
anb0204a.020,anb0203a.020
aud0206a.020,aud0205a.020
ahd0208a.020,ahd0207a.020
anf0210a.020,anf0209a.020
auc0212a.020,auc0211a.020
ana0214a.020,ana0213a.020
aub0215a.020,aub0216a.020
ala0419a.020,ala0418a.020
ane0420a.020,ane0421a.020
aua0423a.020,aua0422a.020
aaa0425a.020,aaa0424a.020
aha0427c.020,aha0426c.020
anc0428a.020,anc0429a.020
aba0430a.020,aba0431a.020
ahb0433c.020,ahb0432c.020
and0435a.020,and0434a.020
aue0437a.020,aue0436a.020
ahc0438c.020,ahc0439c.020
anb0441a.020,anb0440a.020
aud0443a.020,aud0442a.020
ahd0444c.020,ahd0445c.020
anf0447a.020,anf0446a.020
auc0449a.020,auc0448a.020
ana0450a.020,ana0451a.020
aub0453a.020,aub0452a.020
ala0454a.020,ala0455a.020
ane0457a.020,ane0456a.020
aua0459a.020,aua0458a.020
aaa0461a.020,aaa0460a.020
aha0463c.020,aha0462c.020
anc0465a.020,anc0464a.020
aba0467a.020,aba0466a.020
ahb0469c.020,ahb0468c.020
and0470a.020,and0471a.020
aue0473a.020,aue0472a.020
ahc0475c.020,ahc0474c.020
anb0476a.020,anb0477a.020
aud0479a.020,aud0478a.020
ahd0481c.020,ahd0480c.020
anf0483a.020,anf0482a.020
auc0485a.020,auc0484a.020
ana0487a.020,ana0486a.020
aub0489a.020,aub0488a.020
ala0490a.020,ala0491a.020
ane0493a.020,ane0492a.020
aua0495a.020,aua0494a.020
aaa0496a.020,aaa0497a.020
aha0499c.020,aha0498c.020
anc0500a.020,anc0501a.020
aba0503a.020,aba0502a.020
ahb0505c.020,ahb0504c.020
and0507b.020,and0506b.020
aue0509a.020,aue0508a.020
ahc0511c.020,ahc0510c.020
anb0513b.020,anb0512b.020
aud0515a.020,aud0514a.020
ahd0516c.020,ahd0517c.020
anf0519b.020,anf0518b.020
auc0521a.020,auc0520a.020
ana0523b.020,ana0522b.020
aub0525a.020,aub0524a.020
ala0527a.020,ala0526a.020
ane0529b.020,ane0528b.020
aua0530a.020,aua0531a.020
aaa0533a.020,aaa0532a.020
aha0535c.020,aha0534c.020
anc0536b.020,anc0537b.020
aba0539a.020,aba0538a.020
ahb0540c.020,ahb0541c.020
and0542b.020,and0543b.020
aue0545a.020,aue0544a.020
ahc0546c.020,ahc0547c.020
anb0549b.020,anb0548b.020
aud0550a.020,aud0551a.020
ahd0553c.020,ahd0552c.020
anf0555b.020,anf0554b.020
auc0556a.020,auc0557a.020
ana0558b.020,ana0559b.020
aub0561a.020,aub0560a.020
ala0563a.020,ala0562a.020
ane0565b.020,ane0564b.020
aua0567b.020,aua0566b.020
aaa0569a.020,aaa0568a.020
aha0571c.020,aha0570c.020
anc0573b.020,anc0572b.020
aba0575a.020,aba0574a.020
ahb0577c.020,ahb0576c.020
and0579b.020,and0578b.020
aue0580b.020,aue0581b.020
ahc0582c.020,ahc0583c.020
anb0585b.020,anb0584b.020
aud0586b.020,aud0587b.020
ahd0589c.020,ahd0588c.020
anf0590b.020,anf0591b.020
auc0593b.020,auc0592b.020
ana0595b.020,ana0594b.020
aub0596b.020,aub0597b.020
ala0599a.020,ala0598a.020
ane0601b.020,ane0600b.020
aua0603b.020,aua0602b.020
aaa0605a.020,aaa0604a.020
aha0606c.020,aha0607c.020
anc0609b.020,anc0608b.020
aba0611a.020,aba0610a.020
ahb0613c.020,ahb0612c.020
and0615b.020,and0614b.020
aue0617b.020,aue0616b.020
ahc0619c.020,ahc0618c.020
anb0621b.020,anb0620b.020
aud0623b.020,aud0622b.020
ahd0624c.020,ahd0625c.020
anf0626b.020,anf0627b.020
auc0629b.020,auc0628b.020
ana0631b.020,ana0630b.020
aub0633b.020,aub0632b.020
ala0002a.023,ala0001a.023
ane0003a.023,ane0004a.023
aua0006a.023,aua0005a.023
aaa0007a.023,aaa0008a.023
aha0010a.023,aha0009a.023
anc0012a.023,anc0011a.023
aba0013a.023,aba0014a.023
ahb0016a.023,ahb0015a.023
and0017a.023,and0018a.023
aue0019a.023,aue0020a.023
ahc0021a.023,ahc0022a.023
anb0024a.023,anb0023a.023
aud0026a.023,aud0025a.023
ahd0027a.023,ahd0028a.023
anf0030a.023,anf0029a.023
auc0031a.023,auc0032a.023
ana0034a.023,ana0033a.023
aub0035a.023,aub0036a.023
ala0037a.023,ala0038a.023
ane0040a.023,ane0039a.023
aua0042a.023,aua0041a.023
aaa0043a.023,aaa0044a.023
anc0047a.023,anc0046a.023
aba0048a.023,aba0049a.023
ahb0050a.023,ahb0051a.023
and0052a.023,and0053a.023
aue0055a.023,aue0054a.023
ahc0057a.023,ahc0056a.023
anb0059a.023,anb0058a.023
aud0061a.023,aud0060a.023
ahd0063a.023,ahd0062a.023
anf0064a.023,anf0065a.023
auc0067a.023,auc0066a.023
ana0069a.023,ana0068a.023
aub0070a.023,aub0071a.023
ala0072a.023,ala0073a.023
ane0074a.023,ane0075a.023
aua0077a.023,aua0076a.023
aaa0078a.023,aaa0079a.023
anc0082a.023,anc0081a.023
aba0084a.023,aba0083a.023
ahb0086a.023,ahb0085a.023
and0087a.023,and0088a.023
aue0090a.023,aue0089a.023
ahc0092a.023,ahc0091a.023
anb0094a.023,anb0093a.023
aud0096a.023,aud0095a.023
ahd0098a.023,ahd0097a.023
anf0100a.023,anf0099a.023
auc0102a.023,auc0101a.023
ana0104a.023,ana0103a.023
aub0106a.023,aub0105a.023
ala0108a.023,ala0107a.023
ane0110a.023,ane0109a.023
aua0112a.023,aua0111a.023
aaa0114a.023,aaa0113a.023
aha0116a.023,aha0115a.023
anc0117a.023,anc0118a.023
aba0120a.023,aba0119a.023
and0123a.023,and0122a.023
aue0124a.023,aue0125a.023
ahc0127a.023,ahc0126a.023
anb0129a.023,anb0128a.023
aud0131a.023,aud0130a.023
ahd0133a.023,ahd0132a.023
anf0135a.023,anf0134a.023
auc0137a.023,auc0136a.023
aub0140a.023,aub0139a.023
ala0141a.023,ala0142a.023
ane0143a.023,ane0144a.023
aua0145a.023,aua0146a.023
aaa0147a.023,aaa0148a.023
anc0150a.023,anc0151a.023
aba0153a.023,aba0152a.023
ahb0155a.023,ahb0154a.023
and0157a.023,and0156a.023
aue0159a.023,aue0158a.023
ahc0161a.023,ahc0160a.023
anb0163a.023,anb0162a.023
aud0165a.023,aud0164a.023
ahd0167a.023,ahd0166a.023
anf0169a.023,anf0168a.023
auc0170a.023,auc0171a.023
aub0174a.023,aub0173a.023
ala0176a.023,ala0175a.023
ane0178a.023,ane0177a.023
aua0180a.023,aua0179a.023
aaa0182a.023,aaa0181a.023
anc0185a.023,anc0184a.023
aba0186a.023,aba0187a.023
and0190a.023,and0189a.023
aue0191a.023,aue0192a.023
ahc0194a.023,ahc0193a.023
anb0196a.023,anb0195a.023
aud0197a.023,aud0198a.023
ahd0199a.023,ahd0200a.023
anf0202a.023,anf0201a.023
auc0204a.023,auc0203a.023
aub0207a.023,aub0206a.023
ala0208a.023,ala0209a.023
ane0211a.023,ane0210a.023
aua0212a.023,aua0213a.023
aaa0215a.023,aaa0214a.023
anc0217a.023,anc0218a.023
aba0220a.023,aba0219a.023
and0223a.023,and0222a.023
aue0224a.023,aue0225a.023
ahc0227a.023,ahc0226a.023
anb0229a.023,anb0228a.023
aud0231a.023,aud0230a.023
ahd0232a.023,ahd0233a.023
anf0235a.023,anf0234a.023
auc0237a.023,auc0236a.023
ana0238a.023,ana0239a.023
aub0241a.023,aub0240a.023
ala0243a.023,ala0242a.023
ane0244a.023,ane0245a.023
aua0247a.023,aua0246a.023
aaa0249a.023,aaa0248a.023
aha0251a.023,aha0250a.023
anc0253a.023,anc0252a.023
aba0254a.023,aba0255a.023
ahb0257a.023,ahb0256a.023
and0259a.023,and0258a.023
aue0261a.023,aue0260a.023
ahc0263a.023,ahc0262a.023
anb0264a.023,anb0265a.023
aud0267a.023,aud0266a.023
ahd0269a.023,ahd0268a.023
anf0271a.023,anf0270a.023
auc0272a.023,auc0273a.023
ana0275a.023,ana0274a.023
